web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,prix,adresse,type_habits,image_lien-src
"1740023408-1","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border25jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-bakhdad-shoes-5153207","25 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5153207_uploaded_image1_1737840913.jpg"
"1740023412-2","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border25jours","https://sn.coinafrique.com/annonce/chaussures-homme/timberlands-5153210","50 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5165856_uploaded_image1_1738522870.jpg"
"1740023416-3","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border25jours","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-adidas-gazelle-5153216","25 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_3247917_uploaded_image1_1627417647.jpg"
"1740023420-4","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border25jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-travis-schot-5153219","30 000 CFA","Dakar, Sénégal","Chaussures Homme",""
"1740023423-5","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border25jours","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-new-balance-et-adidas-campus-5153222","32 000 CFA","Dakar, Sénégal","Chaussures Homme",""
"1740023427-6","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border23jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-jordan-5155951","35 000 CFA","Hann Bel-Air, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_4042197_uploaded_image1_1673295844.jpg"
"1740023430-7","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border22jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5157484","25 000 CFA","Dakar Plateau, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5191469_uploaded_image1_1739887825.jpg"
"1740023433-8","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border22jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-hommes-5157546","25 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023437-9","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border22jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-hommes-5157548","25 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023439-10","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border22jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-timberlands-5157552","55 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5157552_uploaded_image1_1738081319.jpg"
"1740023442-11","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border22jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-hommes-5157556","2 400 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023445-12","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border21jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5159221","20 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023450-13","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border20jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5160860","38 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023453-14","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border20jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-new-balance-5160982","25 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5165863_uploaded_image1_1738523413.jpg"
"1740023456-15","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border19jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5115549","20 000 CFA","Fass, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5129157_uploaded_image1_1736533953.jpg"
"1740023462-16","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border19jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5115555","20 000 CFA","Fass, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5129157_uploaded_image1_1736533953.jpg"
