web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,prix,adresse,type_chaussures,image_lien-src
"1739486583-1","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165645","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_4173847_uploaded_image1_1681305963.jpg"
"1739486583-2","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165645","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_4173844_uploaded_image1_1681305896.jpg"
"1739486583-3","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165645","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_4165640_uploaded_image1_1680784379.jpg"
"1739486583-4","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165645","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_4165637_uploaded_image1_1680784317.jpg"
"1739486583-5","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165645","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_4165645_uploaded_image1_1680784454.jpg"
"1739486583-6","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165645","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_4165635_uploaded_image1_1680784281.jpg"
"1739486583-7","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165645","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_4165634_uploaded_image1_1680784244.jpg"
"1739486583-8","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165645","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_4038403_uploaded_image1_1673050094.jpg"
"1739486583-9","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165645","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_2847269_uploaded_image1_1608653733.jpg"
"1739486583-10","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165645","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_2132107_uploaded_image1_1589794495.jpg"
"1739486583-11","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165645","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_2063105_uploaded_image1_1588710562.jpg"
"1739486583-12","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165645","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_2063093_uploaded_image1_1588710337.jpg"
"1739486596-13","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165637","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_4173847_uploaded_image1_1681305963.jpg"
"1739486596-14","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165637","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_4173844_uploaded_image1_1681305896.jpg"
"1739486596-15","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165637","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_4165640_uploaded_image1_1680784379.jpg"
"1739486596-16","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165637","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_4165637_uploaded_image1_1680784317.jpg"
"1739486596-17","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165637","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_4165645_uploaded_image1_1680784454.jpg"
"1739486596-18","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165637","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_4165635_uploaded_image1_1680784281.jpg"
"1739486596-19","https://sn.coinafrique.com/categorie/chaussures-enfants","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4165637","Prix sur demande","HLM, Dakar, Sénégal","Chaussures Enfants","https://images.coinafrique.com/thumb_4165634_uploaded_image1_1680784244.jpg"
